year,total_ghg,co2,temperature_change_from_co2,temperature_change_from_ghg,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1887,6688.979,1083.728,0.06,0.083,0.20751476528731688,0.006926795529135915,0.000802926706177709,3.149794266105177e-07,0.020969889642784095,0.16217846327658403,0.04288414277708455
1888,6707.763,1200.802,0.062,0.086,0.21174896902034085,0.006978030262670104,0.001147462541980948,3.149794266105177e-07,0.0030251837016924132,0.16342881263328785,0.04455323133292599
1889,6833.89,1201.516,0.064,0.089,0.2118037139262044,0.007156442751510311,0.0008333248950194161,3.149794266105177e-07,0.018996494438790673,0.16345997016655603,0.04554298564316969
1890,7247.878,1306.591,0.067,0.092,0.21559465559565444,0.007447487739184605,0.0007960871136883374,3.149794266105177e-07,0.05812839457855021,0.16462304634785174,0.04872132095746548
1891,7542.618,1368.916,0.069,0.096,0.21784106607430892,0.0077356423233292115,0.0006067202145633166,3.149794266105177e-07,0.08831334657364989,0.1653041715390788,0.0503088153613247
1892,7510.894,1379.809,0.072,0.099,0.21832522468079973,0.007706505190973517,0.0005257504933759427,3.149794266105177e-07,0.07987277258563338,0.16544247437527265,0.0515822334938216
1893,7691.345,1362.515,0.074,0.103,0.21759477122256324,0.007815594614513088,0.0004921052252715996,3.149794266105177e-07,0.10669337927695799,0.16526349312420321,0.05257046303715099
1894,7778.906,1411.533,0.077,0.106,0.21951957922286952,0.0077762012115682455,0.0004513440175066552,3.149794266105177e-07,0.10891393329550336,0.16582602719546824,0.05423791877413403
1895,7894.431,1495.239,0.079,0.11,0.22243895147116372,0.00809493812983339,0.000475109874237406,3.149794266105177e-07,0.10967780043316086,0.16674849588409105,0.0560935936622724
1896,7899.119,1544.661,0.082,0.114,0.2896938522614366,0.01305610424991574,3.5712858954262128e-06,3.149794266105177e-07,0.05034005476947137,0.22859370013664973,0.05759595790168348
1897,8156.441,1617.493,0.085,0.117,0.2923426664105084,0.013194051089340436,3.396947473707779e-05,3.149794266105177e-07,0.07326640306565818,0.22939928561370587,0.05934247527871042
1898,8223.39,1705.961,0.087,0.121,0.2956103459692794,0.013270600163465235,0.00011493919592450719,3.149794266105177e-07,0.0664600626795522,0.23036408400985176,0.061132778872840965
1899,8505.797,1863.135,0.09,0.125,0.30140418819813164,0.013403885061712972,0.0002837873175814132,3.149794266105177e-07,0.07947465356776956,0.23206128259291803,0.06338052757272097
1900,8691.973,1961.491,0.093,0.129,0.30485449065890186,0.013743134521156414,0.00032786469140180796,3.149794266105177e-07,0.08786915439697587,0.2331564576205499,0.06531565809481413
1901,8804.86,2023.964,0.096,0.133,0.30690359057788646,0.014090029564130052,0.0004189901711340316,6.299588530406242e-07,0.09169638424019966,0.23384960422225054,0.06696050626712949
1902,8971.303,2074.8,0.099,0.137,0.30858000548963693,0.01437244996062706,0.00047667764314038297,6.299588530406242e-07,0.105253949457947,0.23440504245311045,0.0685127982398763
1903,9167.074,2262.046,0.102,0.141,0.3155101001757992,0.014594311741236043,0.0005341578547682913,9.449382794846084e-07,0.10090742775000225,0.236412344359413,0.07107865875083683
1904,9294.473,2287.509,0.105,0.146,0.3159860947336107,0.015084468236576026,0.0005781661417958717,9.449382794846084e-07,0.11269670226201109,0.236710888634117,0.07262466920018296
1905,9621.013,2437.062,0.109,0.15,0.3215735849096296,0.015128290483638979,0.0007166851614039405,1.2599177059147149e-06,0.13389150355543586,0.23827755017441157,0.07476135243539844
1906,9775.443,2544.486,0.112,0.155,0.4235219534941781,0.025775802824505673,0.004051929589415998,1.2599177059147149e-06,0.15596681674380597,0.3146585702049311,0.07727826361914017
1907,10097.672,2900.325,0.115,0.159,0.4362459667087131,0.026779705237540752,0.00411065336331462,1.5748971323448213e-06,0.1432257942066549,0.3184103165359335,0.08080837038643116
1908,10077.375,2785.687,0.119,0.164,0.43152695582327516,0.027216529125816874,0.004096766917957434,3.6222634040003476e-05,0.15618641778112569,0.31724021056593854,0.08151173254909669
1909,10333.53,2901.167,0.122,0.169,0.4355533196628185,0.02747661882407651,0.0043625438099436364,3.653761346643358e-05,0.17159509056639816,0.31851688624542196,0.08378274499624327
1910,10307.978,3043.326,0.126,0.174,0.4405513960439999,0.027930412178236608,0.004458712625551808,4.252222256864724e-05,0.1429891130886548,0.3200313386301826,0.08592283109756994
1911,10461.305,3090.098,0.129,0.179,0.44197464914717166,0.02833711992650992,0.004514189320187878,4.6616955112294134e-05,0.1544535790075559,0.3206009307980208,0.08784892991699939
1912,10507.465,3246.477,0.133,0.184,0.44767151468563704,0.028539914367705338,0.004693607721146548,5.575135847883661e-05,0.1342789895920848,0.3222272842085318,0.0901278958815339
1913,10655.274,3516.533,0.137,0.189,0.45697524930066635,0.029696075779578196,0.004782246076337177,6.39408235661304e-05,0.10964219321632937,0.3250944755300972,0.09355943928982312
1914,10391.972,3189.786,0.14,0.193,0.44434294810961295,0.02988451144194873,0.004819414770875385,4.630197568586403e-05,0.12139070518284878,0.3216851412424735,0.09336469327628481
1915,10335.395,3140.277,0.144,0.198,0.4419412299572508,0.030423198744940344,0.00493893492245745,5.0396708229497045e-05,0.11776470452545668,0.3212300732967056,0.09521743702321875
1916,10589.467,3391.973,0.147,0.203,0.4568897826815511,0.05961896402536965,0.009053845034797448,5.701127618459867e-05,0.19612753955244888,0.3291221649743351,0.09889614012914198
1917,10808.521,3548.138,0.151,0.208,0.4618537150273681,0.060745708588416214,0.009201138077093912,4.6616955112294134e-05,0.19938811260133366,0.3308139095736858,0.10196473447528619
1918,10762.877,3499.686,0.154,0.213,0.45995709969983756,0.06100906164549966,0.008925481773734228,3.779753117215401e-05,0.19983520883090955,0.33019728859124775,0.10277356346851958
1919,10205.527,3033.839,0.158,0.218,0.4410447757361513,0.06233230702915282,0.009024206800676837,3.9372428304346174e-05,0.19018625501727515,0.3254225900550347,0.10219482754898582
1920,10903.477,3537.837,0.161,0.223,0.4567800639712629,0.06641747284365254,0.009282384145452599,4.693193453873812e-05,0.20773410026020397,0.33071352985263575,0.10677768495925441
1921,10669.232,3106.184,0.165,0.228,0.43921160345980614,0.0681066339902811,0.008819986241095035,4.0947325436496707e-05,0.24152553282048958,0.3260979498759326,0.10531040427096212
1922,10836.915,3254.463,0.169,0.232,0.44307728050945605,0.07001980141046002,0.009173365186379484,6.07910293017877e-05,0.236303334034971,0.3278360910806981,0.10903968695550229
1923,11464.264,3690.698,0.173,0.238,0.45743231042112287,0.07222149637007771,0.01003135406643571,6.551572069826705e-05,0.2513976759236876,0.33257438569100295,0.11445586762546002
1924,11524.159,3702.777,0.176,0.243,0.457670174175868,0.07215870002242478,0.010527604499275978,6.803555610973566e-05,0.25334480512125657,0.3328233345705351,0.11705148987495972
1925,11588.408,3740.634,0.18,0.248,0.45758342162121035,0.0731534650307531,0.010818667157435014,0.004544838144004623,0.25293473965483654,0.3332689665583174,0.11936186989468356
1926,11550.636,3677.407,0.184,0.254,0.4344137505741385,0.09918499688725377,0.023549172740776156,0.041811172073332306,0.2563505845720107,0.3432475969143322,0.12078895900849937
1927,12000.633,4012.947,0.188,0.259,0.44510911214114735,0.10140785705981459,0.024023937181048824,0.042034177507247014,0.26145307926267664,0.34697635725168186,0.12574674089701765
1928,11979.465,3996.312,0.192,0.264,0.4429414046177517,0.10203460843163795,0.024480324534430845,0.048376288258479186,0.25774024290098485,0.34684451804670813,0.12748059605025738
1929,12288.143,4288.211,0.196,0.27,0.4511933503445176,0.10455713818305035,0.025880782911725256,0.04878261171857799,0.25115465179291663,0.3500200953471564,0.13139469034052223
1930,12089.384,3958.096,0.2,0.276,0.4394574159187393,0.1035352406770724,0.02597266834617848,0.048369358711097654,0.269261259675248,0.34679411115914943,0.13206022223678815
1931,11823.244,3539.32,0.204,0.281,0.42484392138182814,0.10263665151522361,0.025189431375955668,0.046899349727933984,0.2928844465571784,0.3425588474690528,0.13171486652231343
1932,11523.51,3192.592,0.208,0.286,0.41298560252538075,0.10149400973276385,0.024866934227062668,0.04494647728404824,0.29985512889604976,0.3391088158946376,0.13193185795433188
1933,11804.023,3362.683,0.212,0.291,0.41742734095380385,0.10389952476063585,0.025053330394096365,0.044677169874447864,0.3090347393161968,0.34099494122849006,0.13479423276891114
